id,Title,Content,Date,Permalink,Categories,"Image URL","Author Username"
9,"ConocoPhillips sells its northern Australian business to Santos for $1.4 billion","<span style=""font-weight: 400;"">ConocoPhillips said in a statement that it has struck a deal with partner firm Santos Ltd worth $1.39 billion to sell its northern Australia business to the latter. This would push Santos’s output up by 25 percent and would also bolster its status in the global gas market.</span>

<span style=""font-weight: 400;"">Shares of Santos were up 7 percent on Monday after it took over ConocoPhillips, the second acquisition within a time period of a year. The company has been lifted from the dumps by Managing Director Kevin Gallagher.</span>

<span style=""font-weight: 400;"">ConocoPhillips, an American multinational energy corporation, would sell its Darwin LNG plant, which was established back in 2006 in northern Australia. However, the company would continue to have a stake in the Australian Pacific LNG plant in Queensland. The American multinational is currently putting in more work into its US shale assets.</span>

<span style=""font-weight: 400;"">Matt Fox, Chief Operating Officer of ConocoPhillips, said in a statement that while the Darwin LNG backfill project is one with lower costs associated with supply, its sale raises capital to be invested in other projects of the company. </span>

<span style=""font-weight: 400;"">The sale of the plant comes as the Bayu-Undan gas field is expected to dry up by 2022. Therefore, the management made a decision to sell it to Santos which would be developing the Barossa field.</span>

<span style=""font-weight: 400;"">The company said that the deal would be finalized by the first quarter of 2020. It is anticipated that it would result in a positive effect on the earnings per share of Santos by 16 percent and also push production up by 25 percent in the coming year. </span>

<span style=""font-weight: 400;"">The Australian energy company has also said that it would be ready to invest another $75 million if a decision is reached in regards to the Barossa field by ConocoPhillips. It said that the funding of the project would be done through cash and debt. </span>",2019-10-14,https://www.theresearchprocess.com/2019/10/14/conocophillips-sells-its-northern-australian-business-to-santos-for-1-4-billion/,"Business News|Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/10/ConocoPhillips.jpg,sharp-elbakyan
13,"China pushes for removal of more tariffs in the Phase one trade deal with the US","People having knowledge of the matter said on Monday that China is pushing for the removal of more tariffs imposed by the United States in September as part of the phase one trade deal between the two nations.

The phase one deal is expected to be signed by President Trump and President Xi Jinping by this month. But the location of the agreement has not yet been decided. It is widely believed that the deal would involve the United States removing import duties on $156 billion worth of Chinese goods that are currently scheduled for December 15.

A source informed reports that Chinese officials have demanded for removal of 15 percent tariffs imposed on Chinese imports in September this year. Besides that, China is also aiming to get rid of the 25 percent tariffs on about $250 billion worth of their goods.

The Financial Times newspaper earlier published a report claiming that the White House was pondering upon whether to remove tariffs that went into effect on September 1. The 15 percent tariffs were imposed on some clothing items, Bluetooth headphones, speakers and televisions being imported from China.

A spokesman of the Chinese foreign ministry said that negotiations between the two countries have made progress and are on track according to plans. He added that imposing more and more import duties is not a solution to issues in trade.

Director of the China program at the Eurasia Center, Ralph Winnie, said that closing the phase one deal would allow both the economies to boost up their growth and would also give Trump a win among farmers.

The Chinese president on Tuesday said that the countries should oppose protectionist measures and also protect intellectual property rights. He also mentioned China’s pledge to open its economy to the world.",2019-11-05,https://www.theresearchprocess.com/2019/11/05/china-pushes-for-removal-of-more-tariffs-in-the-phase-one-trade-deal-with-the-us/,"Business News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/Xi-Jinping-1.jpg|https://www.theresearchprocess.com/wp-content/uploads/2019/11/Xi-Jinping.jpg,sharp-elbakyan
17,"Amazon's air shipments rise which may affect climate change plan","Chief executive of online retailer Amazon.com, Jeff Bezos, set the company planned to cut down its greenhouse emissions caused by its delivery operations. However, data provided by Reuters show that the use of aeroplanes for deliveries of Amazon packages is increasing. Aeroplanes are considered the most climate-damaging transport.

Volume from the United States in Amazon Air has continuously increased since 2016 according to data that was received from Atlas Air Worldwide Holdings and Air Transport Services Group Inc, both of which provide planes and pilots to Amazon Air.

During the month of July, Amazon Air transported 136 million lbs of packages in the US. As compared to July last year, the growth in goods transported through air increased by 29 percent.

Amazon CEO had earlier said that the company would try to reduce its usage of aeroplanes by constructing more local warehouses. This would also be beneficial as the company would be able to deliver packages to its customers within a day, he added.

However, packages being transported through the air are increasing. This comes as the company tries to attract customers from competitors like Walmart Inc and Target Corp. Besides that, the e-commerce giant is also offering one-day free delivery to its Prime subscribers.

It warned during the holiday quarter that delivery costs could amount to $1.5 billion for just the one-day delivery offer.

Amazon did not provide information on the proportion of its packages that are delivered through air transport. It also did not mention how the removal of its standard to delivery affected air transport. The company delivers about 10 billion packages each year.

In 2018, the online retailer’s CO2 emissions amounted to 44.4 million metric tons. Amazon CEO set a goal last month to make the company's delivery operations net carbon neutral by 2040.",2019-11-06,https://www.theresearchprocess.com/2019/11/06/amazons-air-shipments-rise-which-may-affect-climate-change-plan/,"General News|Technology News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/amazon-prime-air.jpg,sharp-elbakyan
20,"American and Southwest cancel 737 MAX flights until March next year","American Airlines and Southwest Airlines said in a statement on Friday that they have canceled all 737 MAX flights until March next year. The first crash of the 737 MAX aircraft, produced by Boeing Co, took place in March this year which had resulted in a global grounding of the plane.

Both the airlines have experienced the impact of the removal of 737 MAX flight from their fleet on their profits as they had to remove over 300 flights per day from schedules. Besides that, the companies have had to reconfigure their growth plans as well.

Southwest had earlier canceled 737 MAX flights until February 8. However, now the airline expects the return of the aircraft to service by March 6. It added that the date may again me pushed forward.
Planemaker Boeing has aimed to get its aircraft back to service by the end of this year. But it is struggling to get approval from airline regulators from all around the world as they conduct their own examination of the safety of the plane.

American Airline said that after the aircraft receives its certification, it would conduct test flights for its team members. It has decided to fly the aircraft for commercial flights by March 5.

United Airlines has pushed canceled until January only but is expected to push it further.

According to Reuters, the US and European regulators are required to reach a Rockwell Collins facility in Iowa to conduct an audit of documentation provided by Boeing on its software. This comes after regulators remarked the documents as substandard. The planemaker has also agreed to provide revised documentation.

Two US officials said that it is very unlikely that the aircraft would be able to fly again by the end of December. Chief executive of the planemaker, Doug Parker, had said two days ago that he was the aircraft would get its approval hopefully in the near future.",2019-11-08,https://www.theresearchprocess.com/2019/11/08/american-and-southwest-cancel-737-max-flights-until-march-next-year/,"Automobile News|Business News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/Southwest-Airlines.jpg,sharp-elbakyan
23,"AXA to gain $3.1 billion from the sale of a stake in EQH","<span style=""font-weight: 400;"">AXA said in a statement that it is expecting to gain $3.1 billion in net proceeds by selling 29 percent of its stake in AXA Equitable Holdings (EQH). This comes as the company moves to get out of its life insurance business in the United States.</span>

<span style=""font-weight: 400;"">The insurer has been working to divest from EQH in order to raise funds to acquire XL, a rival which is based in Bermuda. The company needs $15 billion for the acquisition.</span>

<span style=""font-weight: 400;"">The second-largest European insurer said on Friday that its shares in EQH were sold at a price of $21.80 per share to investment banking firm Goldman Sachs, which is the only underwriter in the secondary market transaction. The deal is expected to be concluded in a few days.</span>

<span style=""font-weight: 400;"">Subsequently, EQH would be purchasing 24 million of its shares back at the same price.</span>

<span style=""font-weight: 400;"">AXA claims that the sale of its stake in EQH would not affect its net income in any significant manner. Besides that, it said that it would lead to six points worth of improvement in its Solvency II capital requirements ratio. </span>

<span style=""font-weight: 400;"">As soon as the deal is closed, the company will have only 9.6 percent stake remaining in EQH. However, it would enough to redeem an AXA bond that would be maturing in May 2021. This bond can be redeemed in exchange for in EQH shares only.  </span>",2019-11-09,https://www.theresearchprocess.com/2019/11/09/axa-to-gain-3-1-billion-from-the-sale-of-a-stake-in-eqh/,"Business News|Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/axa-1.jpg|https://www.theresearchprocess.com/wp-content/uploads/2019/11/axa.jpg,sharp-elbakyan
27,"Adidas to shut down robot factories in the US and Germany","<span style=""font-weight: 400;"">Adidas said on Monday that it would shut down its robot factory is in the United States and Germany which initially started to get customers and production closer. </span>

<span style=""font-weight: 400;"">The company added that it would be more economical and flexible to use some of the technology in Asia. </span>

<span style=""font-weight: 400;"">The factories were initially made to fulfill customer demand and deliver new products quickly to their markets. Besides that, they were also a way to dodge increasing wages in Asia and shipping costs. The company had planned to develop a network of such factories around the world. </span>

<span style=""font-weight: 400;"">The sportswear company did not mention the reason why it was shutting down the factories. They were proving to be expensive and it was also tough to use the technology to produce different products. </span>

<span style=""font-weight: 400;"">The first robot factory of Adidas started in the southern town of Ansbach, named ""Speedfactory"". </span>

<span style=""font-weight: 400;"">The German company has moved a large chunk of its operations to Asia from Europe. It currently employs 1 million workers in contract factories mainly in China and Vietnam. </span>

<span style=""font-weight: 400;"">Two robot factories would be shut down By April 2020, the company said on Monday. It added that it would be focusing on using technology at two of its suppliers in Asia. </span>

<span style=""font-weight: 400;"">The suppliers would use the technology to produce a wide range of products, not just running shoes, in lesser time. Meanwhile, the company will continue testing innovative manufacturing processes in its adiLab in Germany. </span>

<span style=""font-weight: 400;"">Adidas said that it would continue operating with Oechsler, the company that handles production at the two factories, in other manufacturing processes. These would include producing soles for different kinds of shoes provided by the company.</span>",2019-11-11,https://www.theresearchprocess.com/2019/11/11/adidas-to-shut-down-robot-factories-in-the-us-and-germany/,"Business News|General News|Technology News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/Adidas-shoes.jpg,sharp-elbakyan
30,"Continental, Osram deepen cost cuts amidst the auto industry downturn","<span style=""font-weight: 400;"">Auto suppliers Continental and Osram reported their quarterly earnings on Tuesday which were weaker than expected and now aim to deepen cost cuts. This comes as the auto industry around the world faces a downturn and takes a toll on auto suppliers. </span>

<span style=""font-weight: 400;"">Besides the lower demand for cars, the market has been increased enthusiasm for low emission and self-driving Technologies which automakers are under pressure to produce while facing high costs. Demand for auto products in China, the largest auto market in the world, has declined for 15 months. </span>

<span style=""font-weight: 400;"">Carmakers Daimler, BMV and Volkswagen have also said that they would be working on reducing costs because of the dampening demand in markets. This comes as the German economy faces a threat of recession. The country would be announcing its GDP for the third quarter on November 14. </span>

<span style=""font-weight: 400;"">Japanese automaker Nissan also reported a huge 70 percent drop in quarterly profit on Tuesday. </span>

<span style=""font-weight: 400;"">Osram said in a statement that it does not expect automobile production to get back up around the world in the near future. The company, which produces headlights and other components, has announced a plan to slash $220 million euros in costs. Furthermore, it would also lay off 800 workers at its German facilities. </span>

<span style=""font-weight: 400;"">Continental, which produces brakes and tires, reported a 20 percent drop in quarterly operating profit. The company also forecasted a downfall in automotive production around the world during the next 5 years. </span>

<span style=""font-weight: 400;"">On the other hand, Infineon Technologies, a chipmaker based in Germany, reported a better than expected profit in the fourth quarter of the year. However, CEO Reinhard Ploss said in a statement that there would be no improvements in the near future because of the slowdown in global auto demand. </span>

<span style=""font-weight: 400;"">He added that the global economy is clouded by microeconomic and political uncertainties.</span>",2019-11-12,https://www.theresearchprocess.com/2019/11/12/continental-osram-deepen-cost-cuts-amidst-the-auto-industry-downturn/,"Automobile News|Business News|Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/continental.jpg,sharp-elbakyan
33,"China's Alibaba launches Hong Kong listing to raise funds for expansion ","<span style=""font-weight: 400;"">Alibaba Group on Wednesday launched its Hong Kong listing and expects to raise a sum of $13.4 billion from the sale of shares. This comes at a time when the global financial hub faces civil unrest as the Chinese e-commerce giant aims to raise funds to finance its expansion plans. </span>

<span style=""font-weight: 400;"">The sale of shares for institutional investors started during the New York trading session on Wednesday. </span>

<span style=""font-weight: 400;"">The company has drafted a 661 pages long prospectus which elaborates on its plans to develop its online delivery and Ele.me, its local services platform. Moreover, it will also invest the money raised in an online travel group named Fliggy. </span>

<span style=""font-weight: 400;"">Funds will also be put into improving the company's online video platform Youku. </span>

<span style=""font-weight: 400;"">The Hong Kong city has faced its first recession in 10 years as a result of street protests for over 5 months along with trade tensions between the two largest economies in the world. Alibaba Hong Kong listing could be the city's highest in over 9 years. </span>

<span style=""font-weight: 400;"">Sources informed reporters that, the Chinese company is observing and noting the progress of the protests in the City as it believes it is a risk to its plans. </span>

<span style=""font-weight: 400;"">Two sources with knowledge of the matter told that the pricing of the share would be out on or around November 20 while the maximum price of the retail company would be announced in the next week. </span>

<span style=""font-weight: 400;"">Sources denied being recognised in public as the information has not been officially announced yet. </span>

<span style=""font-weight: 400;"">According to the prospectus, the company may also put its funds into machine learning and cloud computing. </span>

<span style=""font-weight: 400;"">According to a study by Gartner, Alibaba Cloud ranks third in the list of Infrastructure as a Service by its US revenue in 2018. </span>

<span style=""font-weight: 400;"">The total assets of the company amount to 1.01 trillion renminbi and revenue for the year ended June 30, 2019 was 410.8 billion renminbi, Alibaba said.</span>",2019-11-13,https://www.theresearchprocess.com/2019/11/13/chinas-alibaba-launches-hong-kong-listing-to-raise-funds-for-expansion/,"Finance News|General News|Technology News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/alibaba-hong-kong.jpg,sharp-elbakyan
76,"Attorneys General to look into Android as part of Google antitrust probe, says CNBC","According to a CNBC report on Thursday, attorneys general who are conducting a probe on Google's advertising practices may also be looking to the company's Android business.

The investigation into the company is headed by the Texas attorney general's office. It began in September this year and focuses on the search and digital advertising business of the company.

Alphabet Inc's Google said in a statement that the company is providing complete cooperation to the officials conducting the investigation. It added that investigations have also been conducted in the past which regarding similar practices of the company like advertising. However, the company has not been charged with any wrongdoing yet.

There are other investigations too that the company is under right now. These are the probe conducted by the US Justice Department and one by the House of Representatives judiciary committee. Both these major inquiries target big internet companies in the country and possible anti-competitive that they may have engaged in.

Google how to pay a sum of 4.34 billion Euros to the European Commission as it was charged for unfair competition. The commission said that the company received an advantage by pre-installing the Google Search app and Chrome browser on Android devices, which was deemed unfair.",2019-11-15,https://www.theresearchprocess.com/2019/11/15/attorneys-general-to-look-into-android-as-part-of-google-antitrust-probe-says-cnbc/,"General News|Technology News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/google-logo.jpg,sharp-elbakyan
79,"Return of the 737 MAX dependent on regulators, says Boeing","Boeing Co said in a statement on Saturday that the return of the 737 MAX aircraft is dependent on the decision was taken by US Federal Aviation Administration and other Global airline regulators. This would come after the regulators approve the changes made by the planemaker in order to prevent two accidents that took place earlier involving aircraft's software.

Earlier this week, the FAA told its employees that they can take as much time as required to assess the changes made in the aircraft. Boeing had said earlier that it expects FAA to approve the return of the aircraft by December.

After Boeing said that the expected return of the grounded aircraft is in December, shares of the company surged on Monday. However, the planemaker has also said that the changes made in the pilot training program may not be approved until January next year.

The administrator of the FAA, Steve Dickson, said that the agency will set its own schedule to decide when to give an approval for the return of the aircraft. Boeing's 737 MAX was involved in two accidents in Indonesia and Ethiopia which killed a total of 346 people.

The administrator wrote in a memo that the efforts of the agency are not guided by a schedule.
The planemaker has also expressed sympathy in many speeches for the relatives of those who died in the crashes that resulted in the grounding of the aircraft around the globe in March.

The crisis was further deepened when a communication between two employees of Boeing revealed that they had knowledge of the issue in the software of the flight during its testing.

Various airline operators are also in negotiation with the planemaker for compensation of the loss incurred due to the grounding of the aircraft. Many major US airlines have canceled all 737 MAX flights until next year.",2019-11-16,https://www.theresearchprocess.com/2019/11/16/return-of-the-737-max-dependent-on-regulators-says-boeing/,"Business News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/737-max-grounded.jpg,sharp-elbakyan
82,"HP rejects Xerox's offer, open to new bids to buy Xerox","<span style=""font-weight: 400;"">HP Inc said in a statement on Sunday that the company has been significantly undervalued in the acquisition offer presented by Xerox Corp for $33.5 billion cash and stock. The personal computer maker rejected the bid from the printer maker and said it is open to new bids to buy Xerox. </span>

<span style=""font-weight: 400;"">Xerox had put forward an offer for acquiring HP on November 5. This came after the printer maker got over with an ongoing dispute between the company and Fujifilm Holdings Corp, its joint venture partner. </span>

<span style=""font-weight: 400;"">Xerox said earlier this month that it would sell its stake in the joint venture with Fujifilm worth $2.3 billion.</span>

<span style=""font-weight: 400;"">The personal computer makers said in response to the offer that the resulting acquisition would lead to a lot of debt which was not in line with the interests of its shareholders. </span>

<span style=""font-weight: 400;"">After rebuffing the deal offered by Xerox, HP said that it is open to new deals that would allow it to acquire the printer maker. This comes as the company identifies the benefits of the acquisition. </span>

<span style=""font-weight: 400;"">Xerox CEO John Visentin wrote in the offer letter to HP that the company is ready to quickly finalize their due diligence. This has also put pressure on Xerox to allow HP access to its books. </span>

<span style=""font-weight: 400;"">The rejected offer from Xerox involved shareholders receiving $22 per share in which $17 would be in cash and the remaining as 0.137 Xerox shares for is HP share. If the offer was accepted, shareholders of the personal computer maker would have ownership of 48 percent of the combined company. </span>

<span style=""font-weight: 400;"">According to many analysts, the merger would result in merits for both companies as the printing market around the world is becoming stagnant. However, there were some concerns about the different offerings and pricing models of the companies which may result in some challenges in integration.</span>",2019-11-18,https://www.theresearchprocess.com/2019/11/18/hp-rejects-xeroxs-offer-open-to-new-bids-to-buy-xerox/,"Business News|Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/hp-and-xerox.jpg,sharp-elbakyan
85,"Asian stocks movement mixed as investors wait for clearer news on US-China trade deal","<span style=""font-weight: 400;"">There were mixed movements in the Asian stock market on Tuesday as investors wait for clearer news on the trade talks between the United States and China, pulling down their motivation to trade.</span>

<span style=""font-weight: 400;"">MSCI’s index of Asia-Pacific region outside excluding Japan rose by 0.2 percent. This came after there were increased hopes for stimulus in China.</span>

<span style=""font-weight: 400;"">On the other hand, Japan’s Nikkei dropped 0.2 percent along with South Korea’s Kospi 200 which also shed 0.3 percent.</span>

<span style=""font-weight: 400;"">Vishnu Varathan from Mizuho Bank’s Asia Treasury Department said that the stock markets are subdued for the day. He added that investors are paying greater attention to the trade talks between the two largest economies in the world aimed at resolving the trade war which had stunted global growth.</span>

<span style=""font-weight: 400;"">Varathan also said that there might still be doubts on whether the phase one deal the two nations are working on would actually be closed.</span>

<span style=""font-weight: 400;"">CNBC reported that Beijing was rather negative about the possibility of settling on an agreement in the first phase of the trade talks.</span>

<span style=""font-weight: 400;"">The Trump Administration has provided an extension of the license for Huawei to trade with American companies for another 90 days.</span>

<span style=""font-weight: 400;"">Not much detailed information is available about the prospective trade deal between the two nations. Moreover, this week’s low trading volume suggested that hopes for a resolution of the trade war are fading away.</span>

<span style=""font-weight: 400;"">Michael McCarthy from CMC Markets said that they are still waiting for a development on the trade negotiations. He added that as time goes on like this, concerns around the globe will continue to rise.</span>

<span style=""font-weight: 400;"">The United States has another round of tariffs on Chinese imports to the country currently on schedule on December 15 this year. </span>

<span style=""font-weight: 400;"">US stocks always remained flat as there was not much motivation to trade amidst the lack of clarity. </span>",2019-11-19,https://www.theresearchprocess.com/2019/11/19/asian-stocks-movement-mixed-as-investors-wait-for-clearer-news-on-us-china-trade-deal/,"Business News|Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/asian-stock-market.jpg,sharp-elbakyan
89,"Alibaba registers largest share sale in Hong Kong in nine years worth $12.9 billion","<span style=""font-weight: 400;"">Chinese e-commerce giant Alibaba Group registered the largest share sale in the city of Hong Kong in nine years worth $12.9 billion. The listing was the largest in a cross-border secondary share sale in the world. </span>

<span style=""font-weight: 400;"">The listing is expected to boost the Hong Kong economy which has been facing over five-months of anti-government protests from its citizens which have also turned violent on many occasions. Recently, the economy dropped in its first recession in a decade.</span>

<span style=""font-weight: 400;"">The Chinese company said in a statement that the share price for sale in Hong Kong was HK$176 per share. This was 2.9 percent lower than the closing price in New York. </span>

<span style=""font-weight: 400;"">According to the share price, the listing is expected to raise upwards of HK$88 billion. This figure has also caught attention as the number 8 stands for good fortune and prosperity in the culture of China.</span>

<span style=""font-weight: 400;"">The total amount raised from the share sale is expected to touch $12.9 billion after an over-allotment option is used.</span>

<span style=""font-weight: 400;"">Analysts said that the discount of 2.9 percent in the Hong Kong listing was actually 3.7 percent if the closing price one day ahead of the deal, that is November 12, is taken.</span>

<span style=""font-weight: 400;"">This comes at a time when other companies are also joining the share sale rush towards the end of this year. Aramco, Saudi Arabia’s state oil giant, is also looking forward to its listing which may also surpass Alibaba’s $25 billion float in 2014 after the oil company increased its Initial public offering price.</span>

<span style=""font-weight: 400;"">Aramco has its share price at the upper end of the price range and can raise up to $25.6 billion. A successful share sale would value the company at $1.7 trillion. </span>",2019-11-20,https://www.theresearchprocess.com/2019/11/20/alibaba-registers-largest-share-sale-in-hong-kong-in-nine-years-worth-12-9-billion/,"Finance News|General News",https://www.theresearchprocess.com/wp-content/uploads/2019/11/alibaba-share-sale.jpg,sharp-elbakyan
